 1 1 1 1 1 1 1 1 1 1
 8 8 8 8 8 8 8 8 8 8
 21 21 21 21 21 21 21 21 21 21
 14 14 14 14 14 14 14 14 14 14
 19 19 19 19 19 19 19 19 19 19
 10 10 10 10 10 10 10 10 10 10
 12 12 12 12 12 12 12 12 12 12
 13 13 13 13 13 13 13 13 13 13
 26 26 26 26 26 26 26 26 26 26
 22 22 22 22 22 22 22 22 22 22
 3 3 3 3 3 3 3 3 3 3
 7 7 7 7 7 7 7 7 7 7
 9 9 9 9 9 9 9 9 9 9
 33 33 33 33 33 33 33 33 33 33
 32 32 32 32 32 32 32 32 32 32
 20 20 20 20 20 20 20 20 20 20
 34 34 34 34 34 34 34 34 34 34
 16 16 16 16 16 16 16 16 16 16
 6 6 6 6 6 6 6 6 6 6
 18 18 18 18 18 18 18 18 18 18
 28 28 28 28 28 28 28 28 28 28
 25 25 25 25 25 25 25 25 25 25
 27 27 27 27 27 27 27 27 27 27
 5 5 5 5 5 5 5 5 5 5
 31 31 31 31 31 31 31 31 31 31
 11 11 11 11 11 11 11 11 11 11
 4 4 4 4 4 4 4 4 4 4
 17 17 17 17 17 17 17 17 17 17
 29 29 29 29 29 29 29 29 29 29
 30 30 30 30 30 30 30 30 30 30
 23 23 23 23 23 23 23 23 23 23
 24 24 24 24 24 24 24 24 24 24
 2 2 2 2 2 2 2 2 2 2
 15 15 15 15 15 15 15 15 15 15
