 1 1 1 1 1 1 1 1 1 1
 12 12 12 12 12 12 12 12 12 12
 15 15 15 15 15 15 15 15 15 15
 34 34 34 34 34 34 34 34 34 34
 9 9 9 9 9 9 9 9 9 9
 8 8 8 8 8 8 8 8 8 8
 26 26 26 26 26 26 26 26 26 26
 10 10 10 10 10 10 10 10 10 10
 24 24 24 24 24 24 24 24 24 24
 11 11 11 11 11 11 11 11 11 11
 28 28 28 28 28 28 28 28 28 28
 6 6 6 6 6 6 6 6 6 6
 13 13 13 13 13 13 13 13 13 13
 25 25 25 25 25 25 25 25 25 25
 5 5 5 5 5 5 5 5 5 5
 27 27 27 27 27 27 27 27 27 27
 29 29 29 29 29 29 29 29 29 29
 19 19 19 19 19 19 19 19 19 19
 33 33 33 33 33 33 33 33 33 33
 17 17 17 17 17 17 17 17 17 17
 16 16 16 16 16 16 16 16 16 16
 3 3 3 3 3 3 3 3 3 3
 14 14 14 14 14 14 14 14 14 14
 21 21 21 21 21 21 21 21 21 21
 2 2 2 2 2 2 2 2 2 2
 22 22 22 22 22 22 22 22 22 22
 23 23 23 23 23 23 23 23 23 23
 32 32 32 32 32 32 32 32 32 32
 4 4 4 4 4 4 4 4 4 4
 30 30 30 30 30 30 30 30 30 30
 7 7 7 7 7 7 7 7 7 7
 20 20 20 20 20 20 20 20 20 20
 31 31 31 31 31 31 31 31 31 31
 18 18 18 18 18 18 18 18 18 18
