 1 1 1 1 1 1 1 1 1 1 1
 20 20 20 20 20 20 20 20 20 20 20
 16 16 16 16 16 16 16 16 16 16 16
 15 15 15 15 15 15 15 15 15 15 15
 2 2 2 2 2 2 2 2 2 2 2
 13 13 13 13 13 13 13 13 13 13 13
 8 8 8 8 8 8 8 8 8 8 8
 33 33 33 33 33 33 33 33 33 33 33
 14 14 14 14 14 14 14 14 14 14 14
 11 11 11 11 11 11 11 11 11 11 11
 30 30 30 30 30 30 30 30 30 30 30
 17 17 17 17 17 17 17 17 17 17 17
 34 34 34 34 34 34 34 34 34 34 34
 25 25 25 25 25 25 25 25 25 25 25
 9 9 9 9 9 9 9 9 9 9 9
 7 7 7 7 7 7 7 7 7 7 7
 23 23 23 23 23 23 23 23 23 23 23
 10 10 10 10 10 10 10 10 10 10 10
 27 27 27 27 27 27 27 27 27 27 27
 5 5 5 5 5 5 5 5 5 5 5
 12 12 12 12 12 12 12 12 12 12 12
 24 24 24 24 24 24 24 24 24 24 24
 4 4 4 4 4 4 4 4 4 4 4
 26 26 26 26 26 26 26 26 26 26 26
 28 28 28 28 28 28 28 28 28 28 28
 18 18 18 18 18 18 18 18 18 18 18
 32 32 32 32 32 32 32 32 32 32 32
 29 29 29 29 29 29 29 29 29 29 29
 6 6 6 6 6 6 6 6 6 6 6
 3 3 3 3 3 3 3 3 3 3 3
 31 31 31 31 31 31 31 31 31 31 31
 22 22 22 22 22 22 22 22 22 22 22
 19 19 19 19 19 19 19 19 19 19 19
 21 21 21 21 21 21 21 21 21 21 21
