 1 1 1 1 1 1 1 1 1 1 1
 14 14 34 14 14 14 34 14 14 14 14
 34 34 7 34 34 34 7 34 23 34 34
 7 7 20 7 7 7 20 7 22 7 7
 20 20 13 20 20 20 13 20 29 20 20
 13 13 18 13 13 13 18 13 28 13 13
 18 18 9 18 18 18 9 18 16 18 18
 9 9 11 9 9 9 11 9 3 9 9
 11 11 12 11 11 11 12 11 10 11 11
 12 12 25 12 12 12 21 12 30 12 12
 25 25 21 25 25 21 25 25 26 21 25
 21 21 2 21 21 25 2 21 24 25 21
 2 2 6 2 2 2 6 2 4 2 2
 6 6 8 6 6 6 8 6 27 6 6
 8 8 32 8 8 8 32 8 17 8 8
 32 32 19 32 32 32 31 32 15 32 32
 31 31 31 31 19 31 5 19 19 31 31
 19 19 33 19 33 15 19 31 5 33 19
 15 33 15 33 31 19 33 33 33 19 5
 33 5 5 5 15 33 15 15 31 15 15
 5 15 17 15 5 5 17 5 32 5 33
 17 17 27 17 17 17 27 17 8 17 17
 27 27 4 24 27 27 24 27 6 27 24
 24 24 24 27 24 26 26 26 2 24 27
 4 4 26 26 30 4 4 24 25 26 26
 26 26 30 4 26 24 30 4 21 4 4
 30 30 10 30 4 30 10 30 12 30 30
 10 10 3 10 10 10 3 10 11 10 10
 3 3 16 3 3 3 16 3 9 3 3
 16 16 28 16 16 16 28 16 18 16 16
 28 28 29 28 28 28 29 28 13 28 28
 29 29 22 29 29 22 22 29 20 29 29
 22 22 23 22 22 29 23 22 7 22 22
 23 23 14 23 23 23 14 23 34 23 23
