 1 1 1 1 1 1 1 1 1 1
 26 26 26 12 9 26 12 26 12 26
 10 10 10 15 8 10 15 10 15 10
 11 8 8 34 26 8 34 8 34 24
 28 24 9 9 10 24 9 9 26 11
 6 11 24 8 24 11 8 24 10 28
 13 28 11 26 11 28 26 11 11 6
 24 6 28 10 28 6 10 28 28 13
 8 13 6 24 6 9 24 6 6 25
 9 25 13 11 13 14 11 13 24 5
 14 5 25 28 25 3 28 25 8 27
 3 27 5 6 5 16 6 5 9 29
 16 29 27 16 27 17 13 27 14 19
 17 19 29 3 29 13 25 29 3 33
 25 33 19 14 19 25 5 19 16 30
 5 2 33 17 33 5 27 33 13 7
 27 21 17 13 2 27 29 2 25 4
 29 17 16 25 30 29 19 21 5 32
 19 16 3 5 7 19 33 17 27 23
 33 3 14 27 4 33 17 16 29 20
 2 14 21 29 32 2 16 3 19 22
 21 9 2 19 23 21 3 14 33 2
 22 34 22 33 20 22 14 22 17 21
 23 15 23 2 22 23 21 23 21 17
 32 12 32 21 21 32 2 32 2 16
 4 22 4 22 17 4 22 4 22 3
 30 32 30 32 16 30 32 30 23 14
 7 30 7 30 3 7 30 7 32 9
 20 7 20 7 14 20 7 20 4 8
 34 4 34 4 34 34 4 34 30 34
 15 23 15 23 15 15 23 15 7 15
 12 20 12 20 12 12 20 12 20 12
 31 31 31 31 31 31 31 31 31 31
 18 18 18 18 18 18 18 18 18 18
