 1 1 1 1 1 1 1 1 1 1
 98 98 98 98 98 98 98 98 98 98
 66 66 66 66 66 66 66 66 66 66
 86 86 86 86 86 86 86 86 86 86
 8 8 8 8 8 8 8 8 8 8
 60 21 60 60 60 60 60 60 60 60
 23 26 23 23 23 23 23 23 23 23
 43 71 43 43 43 43 43 43 43 43
 38 45 38 38 38 38 38 38 38 38
 46 94 46 46 46 46 46 46 46 46
 84 6 84 84 84 84 84 84 84 84
 82 33 82 82 82 82 82 82 82 82
 52 101 52 52 52 52 52 52 52 52
 3 40 3 3 3 3 3 3 3 3
 69 102 69 69 69 69 69 69 69 69
 95 11 95 95 95 95 95 95 95 95
 110 16 110 110 110 110 110 110 110 110
 41 92 41 41 41 41 41 41 41 41
 90 99 90 90 90 90 90 90 90 90
 35 109 35 35 35 35 35 35 35 35
 77 107 77 77 77 77 77 77 77 77
 74 34 74 74 74 74 74 74 74 74
 73 65 73 73 73 73 73 73 73 73
 49 100 49 49 49 49 49 49 49 49
 63 75 63 63 63 63 63 63 63 63
 62 104 62 62 62 62 62 62 62 62
 97 85 97 97 97 97 97 97 97 97
 19 83 19 19 19 19 19 19 19 19
 22 70 22 22 22 22 22 22 22 22
 87 5 87 87 87 87 87 87 87 87
 64 37 64 64 64 64 64 64 64 64
 88 79 88 88 88 88 88 88 88 88
 42 15 42 42 42 42 42 42 42 42
 89 58 89 89 89 89 89 89 89 89
 31 53 31 31 31 31 31 31 31 31
 96 17 96 96 96 96 96 96 96 96
 4 13 4 4 4 4 4 4 4 4
 14 29 14 14 14 14 14 14 14 14
 106 67 106 106 106 106 106 106 106 106
 105 81 105 105 105 105 105 105 105 105
 103 51 103 103 103 103 103 103 103 103
 27 54 27 27 27 27 27 27 27 27
 48 44 48 48 48 48 48 48 48 48
 59 72 59 59 59 59 59 59 59 59
 57 50 57 57 57 57 57 57 57 57
 61 68 61 61 61 61 61 61 61 61
 7 39 7 7 7 7 7 7 7 7
 2 2 2 2 2 2 2 2 2 2
 39 7 39 39 39 39 39 39 39 39
 68 61 68 68 68 68 68 68 68 68
 50 57 50 50 50 50 50 50 50 50
 72 59 72 72 72 72 72 72 72 72
 44 48 44 44 44 44 44 44 44 44
 54 27 54 54 54 54 54 54 54 54
 51 103 51 51 51 51 51 51 51 51
 81 105 81 81 81 81 81 81 81 81
 67 106 67 67 67 67 67 67 67 67
 29 14 29 29 29 29 29 29 29 29
 13 4 13 13 13 13 13 13 13 13
 17 96 17 17 17 17 17 17 17 17
 53 31 53 53 53 53 53 53 53 53
 58 89 107 58 58 58 58 58 58 58
 15 42 109 15 15 15 15 15 15 15
 79 88 99 79 79 79 79 79 79 79
 37 64 92 37 37 37 37 37 37 37
 5 87 16 5 5 5 5 5 5 5
 70 22 11 70 70 70 70 70 70 70
 83 19 104 83 83 83 83 83 83 83
 85 97 85 85 85 85 85 85 85 85
 104 62 83 104 104 104 104 104 104 104
 75 63 70 75 11 75 75 75 75 75
 100 49 5 100 16 100 100 100 100 100
 65 73 37 65 92 65 65 65 65 65
 34 74 79 34 99 34 34 34 34 34
 107 77 15 107 109 107 107 107 107 107
 109 35 58 109 107 109 109 109 109 109
 99 90 34 99 34 99 99 99 99 99
 92 41 65 92 65 92 92 92 92 92
 16 110 100 16 100 16 16 16 16 16
 11 95 75 11 75 11 11 11 11 11
 102 69 102 102 102 102 102 102 102 102
 40 3 40 40 40 40 40 40 40 40
 101 52 101 101 101 101 101 101 101 101
 33 82 33 33 33 33 33 33 33 33
 6 84 6 6 6 6 6 6 6 6
 94 46 94 94 94 94 94 94 94 94
 45 38 45 45 45 45 45 45 45 45
 71 43 71 71 71 71 71 71 71 71
 26 23 26 26 26 26 26 26 26 26
 21 60 21 21 21 21 21 21 21 21
 12 12 12 12 12 12 12 12 12 12
 36 36 36 36 36 36 36 36 36 36
 10 10 10 10 10 10 10 10 10 10
 76 76 76 76 76 76 76 76 76 76
 28 28 28 28 28 28 28 28 28 28
 55 55 55 55 55 55 55 55 55 55
 9 9 9 9 9 9 9 9 9 9
 93 93 93 93 93 93 93 93 93 93
 18 18 18 18 18 18 18 18 18 18
 47 47 47 47 47 47 47 47 47 47
 30 30 30 30 30 30 30 30 30 30
 25 25 25 25 25 25 25 25 25 25
 108 108 108 108 108 108 108 108 108 108
 56 56 56 56 56 56 56 56 56 56
 80 80 80 80 80 80 80 80 80 80
 24 24 24 24 24 24 24 24 24 24
 91 91 91 91 91 91 91 91 91 91
 78 78 78 78 78 78 78 78 78 78
 32 32 32 32 32 32 32 32 32 32
 20 20 20 20 20 20 20 20 20 20
